City,Population,01/04/2020,03/04/2020,05/04/2020,06/04/2020,07/04/2020,09/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,23/04/2020,24/04/2020,26/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,09/05/2020,10/05/2020,15/05/2020,18/05/2020
עפולה,50886,0,80.57,96.29,100.22,100.22,106.12,110.05,110.05,110.05,117.91,119.88,121.84,123.81,125.77,127.74,115.95,115.95,37.34,33.41,33.41,33.41,31.44,29.48,29.48,28,29,28,26, 22 , 22 
עכו,50872,0,23.59,25.55,27.52,31.45,31.45,33.42,33.42,33.42,35.38,35.38,39.31,39.31,39.31,41.28,43.25,43.25,23.59,25.55,27.52,29.49,27.52,25.55,19.66,18,18,18,18, 16 , 14 
אלעד,46760,168.95,256.63,284.43,348.59,367.84,459.79,498.29,517.54,541.06,594.53,643.71,645.85,660.82,671.51,686.48,757.06,772.03,483.32,397.78,369.97,348.59,312.23,275.88,269.46,252,210,188,182, 118 , 98 
כרמיאל,46596,0,45.07,45.07,51.51,51.51,55.8,62.24,64.38,79.41,81.55,90.14,94.43,96.57,96.57,96.57,105.16,105.16,60.09,49.36,47.21,45.07,42.92,36.48,34.34,32,30,24,24, 21 , 19 
נס ציונה,45714,0,17.5,19.69,26.25,26.25,32.81,37.19,39.38,39.38,41.56,43.75,43.75,45.94,45.94,45.94,41.56,41.56,17.5,17.5,21.88,26.25,21.88,21.88,21.88,22,24,24,24, 18 , 11 
יבנה,45555,0,46.1,54.88,59.27,59.27,61.46,68.05,72.44,70.24,74.64,74.64,76.83,76.83,76.83,81.22,81.22,81.22,26.34,24.15,21.95,17.56,19.76,17.56,17.56,18,18,18,15, 18 , 18 
רמת השרון,44896,0,71.28,73.5,73.5,75.73,75.73,77.96,86.87,86.87,91.32,93.55,93.55,93.55,98,98,93.55,93.55,26.73,26.73,26.73,26.73,24.5,24.5,24.5,25,27,29,29, 22 , 20 
טבריה,44353,0,187.14,211.94,216.45,216.45,268.3,290.85,293.1,299.87,302.12,324.67,333.69,342.71,344.96,344.96,365.25,372.02,162.33,142.04,133.02,133.02,128.51,112.73,112.73,113,106,106,101, 79 , 77 
נוף הגליל,43811,0,41.09,50.22,50.22,52.5,54.78,59.35,61.63,61.63,66.19,73.04,73.04,73.04,73.04,73.04,70.76,70.76,29.67,29.67,29.67,29.67,31.96,31.96,29.67,30,30,27,27, 21 , 21 
טייבה,43144,0,18.54,18.54,18.54,18.54,20.86,23.18,23.18,23.18,25.5,25.5,25.5,30.13,34.77,34.77,78.81,97.35,85.76,88.08,88.08,90.39,90.39,88.08,88.08,86,81,76,76, 39 , 39 
קרית מוצקין,42870,0,14,14,16.33,16.33,16.33,23.33,23.33,23.33,23.33,25.66,27.99,27.99,27.99,27.99,25.66,25.66,14,0,0,0,0,0,0,0,0,0,0, 0 , 0 
